,MedianIncome,ZipCode
1241,46000.0,13731
1242,74842.0,13732
1243,45960.0,13733
1244,66810.0,13734
1245,55023.0,13736
1246,47150.0,13739
1247,43594.0,13740
1248,55000.0,13743
1249,64405.0,13744
1250,44844.0,13746
1251,45577.0,13748
1252,47798.0,13750
1253,38828.0,13751
1254,60076.0,13752
1255,47792.0,13753
1256,42193.0,13754
1257,41574.0,13755
1258,45089.0,13756
1259,54702.0,13757
1260,50420.0,13760
1261,50655.0,13775
1262,44107.0,13776
1263,44904.0,13777
1264,51260.0,13778
1265,56000.0,13780
1266,42212.0,13782
1267,37632.0,13783
1268,53611.0,13786
1269,46923.0,13787
1270,55000.0,13788
1271,39518.0,13790
1272,51604.0,13795
1273,52950.0,13796
1274,45929.0,13797
1275,45625.0,13801
1276,58854.0,13802
1277,51593.0,13803
1278,60192.0,13804
1279,59444.0,13806
1280,47917.0,13807
1281,49750.0,13808
1282,36875.0,13809
1283,40083.0,13810
1284,45057.0,13811
1285,50547.0,13812
1286,50823.0,13813
1287,39818.0,13815
1288,42345.0,13820
1289,52750.0,13825
1290,,13826
1291,56025.0,13827
1292,53304.0,13830
1293,35000.0,13832
1294,51976.0,13833
1295,2499.0,13834
1296,48333.0,13835
1297,38482.0,13838
1298,50481.0,13839
1299,33750.0,13841
1300,79219.0,13842
1301,48393.0,13843
1302,48026.0,13844
1303,76250.0,13846
1304,42861.0,13849
1305,62061.0,13850
1306,38730.0,13856
1307,73468.0,13859
1308,43631.0,13861
1309,50036.0,13862
1310,41731.0,13863
1311,65613.0,13864
1312,51236.0,13865
1313,41344.0,13901
1314,44267.0,13903
1315,40985.0,13904
1316,34520.0,13905
1317,54052.0,14001
1318,56163.0,14004
1319,57409.0,14005
1320,58511.0,14006
1321,46889.0,14008
1322,46287.0,14009
1323,61196.0,14011
1324,52188.0,14012
1325,42663.0,14013
1326,42809.0,14020
1327,50577.0,14024
1328,67326.0,14025
1329,64792.0,14026
1330,53750.0,14028
1331,66750.0,14030
1332,68137.0,14031
1333,94092.0,14032
1334,81979.0,14033
1335,58224.0,14034
1336,49276.0,14036
1337,74063.0,14037
1338,44583.0,14039
1339,59716.0,14040
1340,40000.0,14041
1341,32740.0,14042
1342,49369.0,14043
1343,65554.0,14047
1344,39566.0,14048
1345,101660.0,14051
1346,71278.0,14052
1347,48250.0,14054
1348,50673.0,14055
1349,61292.0,14057
1350,67069.0,14058
1351,75511.0,14059
1352,46842.0,14060
1353,50745.0,14062
1354,47982.0,14063
1355,40848.0,14065
1356,46060.0,14066
1357,53009.0,14067
1358,71452.0,14068
1359,62768.0,14069
1360,45192.0,14070
1361,80243.0,14072
1362,62497.0,14075
1363,61569.0,14080
1364,52583.0,14081
1365,45104.0,14082
1366,,14083
1367,86092.0,14085
1368,75819.0,14086
1369,48750.0,14091
1370,60689.0,14092
1371,49849.0,14094
1372,54543.0,14098
1373,51250.0,14101
1374,89722.0,14102
1375,43478.0,14103
1376,56474.0,14105
1377,57349.0,14108
1378,56413.0,14111
1379,47500.0,14113
1380,52587.0,14120
1381,49356.0,14125
1382,77636.0,14127
1383,50417.0,14129
1384,57500.0,14131
1385,59286.0,14132
1386,56786.0,14134
1387,43914.0,14136
1388,46250.0,14138
1389,54593.0,14139
1390,51310.0,14141
